Ut  a   22:06
Ut 	v 	22:24   [1] <14901
Uto 	+ 	22:28
Blw 	- 	22:29
Bln 	- 	22:30
Hor 	+ 	22:35
Hvsp 	+ 	22:39
Hvs 	a 	22:42
Hvs 	v 	22:43
Hvsm 	- 	22:44
Crao 	- 	22:45
Craw 	- 	22:46
Bsmz 	- 	22:47
Ndb 	a 	22:48
Ndb 	v 	22:51
Kv 	- 	22:54
Mbga 	- 	22:57
Ampo 	+ 	23:01
Almmo 	- 	23:03
Almm 	+ 	23:05
Alm 	a 	23:08
