Asd 	v 	12:30   [11b]
Ods 	- 	12:31
Dgrw 	- 	12:32
Dgok 	- 	12:33
Dgro 	- 	12:34
Asdma 	- 	12:35
Asdm 	- 	12:36
Assp 	- 	12:37
Dmn 	- 	12:38
Wgmo 	- 	12:39
Gpda 	- 	12:40
Wp 	- 	12:41
Vtbr 	- 	12:42
Kv 	- 	12:43
Ndb 	- 	12:45
Bsmz 	- 	12:46
Craw 	- 	12:47
Crao 	- 	12:48
Hvsm 	- 	12:49
Hvs 	a 	12:50
Hvs 	v 	12:52   [3]
Brn 	- 	12:58
Brna 	- 	12:59
Amfga 	- 	13:03
Amf 	a 	13:04   [5a]
Amf     v   13:26
