Ut  a   12:35
Ut 	v 	12:55   [12] <8801
Utwao 	- 	12:56
Utwaw 	- 	12:57
Utlr 	- 	12:58
Utt 	- 	12:59
Vtn 	- 	13:00
Hmlva 	- 	13:01
Hmla 	- 	13:02
Wd 	a 	13:04
Wd 	v 	13:05
Wdba 	- 	13:08
Wdmv 	- 	13:09
Dwb 	- 	13:11
Bdg 	a 	13:14
Bdg 	v 	13:15
Gwb 	- 	13:20
Apn 	a 	13:22
Apn 	v 	13:23
Ztwo 	- 	13:28
Ztww 	- 	13:30
Rskbl 	- 	13:31
Ldl 	+ 	13:32
Ld 	- 	13:34
Gwt 	- 	13:35
Ledn 	a 	13:37
