Ah  a   12:55
Ah 	v 	13:05   [6b]
Ahp 	+ 	13:07
Va 	- 	13:08
IJbww 	- 	13:10
Wtv 	+ 	13:11
Dvn 	+ 	13:15
Zv 	a 	13:19
Zv 	v 	13:20
Did 	+ 	13:24
Wl 	a 	13:29
Wl 	v 	13:30
Dtch 	+ 	13:33
Oij 	- 	13:35
Dtc 	a 	13:36
Dtc 	v 	13:37
Gdr 	+ 	13:42
Tbg 	+ 	13:45
Vsv 	+ 	13:52
Atn 	a 	13:59
Atn 	v 	14:00
Ww 	a 	14:10
