sloe    -   10:06
lwd	-	10:17
ha	-	10:21
gs	a	10:26
gs	v	10:29
bzl	-	10:36
vlk	-	10:41
krg	-	10:42
kbd	-	10:49
rb	-	10:56
bgn	-	11:02
kraga	-	11:09
rsd	-	11:17
odb	-	11:24
mabr	-	11:28
zvbi	-	11:29
zvb	-	11:30
zlw	-	11:35
mdbz	-	11:38
wld	-	11:41
ddzd	-	11:45
ddr	-	11:48
grbr	-	11:50
zwd	-	11:53
kfhaz	-	11:56
