Ut 	a 	12:48   <6040
Ut 	v 	12:55   [20]
Utwa 	- 	12:56
Utlr 	- 	12:57
Utt 	- 	12:58
Vtn 	- 	12:59
Hmlva 	- 	13:00
Hmla 	- 	13:01
Wd 	a 	13:04
Wd 	v 	13:05
Wdba 	- 	13:07
Wdmv 	- 	13:08
Dwb 	- 	13:10
Bdg 	a 	13:14
Bdg 	v 	13:15
Gwb 	- 	13:19
Apn 	a 	13:21
Apn 	v 	13:24
Ztwo 	- 	13:28
Ztww 	- 	13:31
Rskbl 	- 	13:31
Ldl 	+ 	13:32
Ld 	- 	13:34
Gwt 	- 	13:35
Ledn 	a 	13:37
